testId,FN,picFN,wordFN,faceFN,FP,picFP,wordFP,faceFP,TN,picTN,wordTN,faceTN,TP,picTP,pic-accuracy,wordTP,faceTP,video,diffCalm,diffHappy,CalmLevel,PositiveLevel,calm minus positive,userId,age,gender,englishLevel,hand,FP+TN,FN+TP
30,0,0,0,0,0.555555556,1,0,0.666666667,0.444444444,0,1,0.333333333,1,1,1,1,1,stress2,2,-1,8,4,4,10,33,male,native language,left,1,1
31,0,0,0,0,0.285714286,1,0,0,0.714285714,0,1,1,1,1,0.80139342,1,1,stress1,0,-2,1,3,-2,13,22,female,native language,right,1,1
34,0,0,0,0,0.111111111,0.333333333,0,0,0.888888889,0.666666667,1,1,1,1,1,1,1,stress2,0,0,1,3,-2,13,22,female,native language,right,1,1
38,0.111111111,0,0,0.333333333,0,0,0,0,1,1,1,1,0.888888889,1,1,1,0.666666667,calm,0,2,1,5,-4,13,22,female,native language,right,1,1
32,0.111111111,0,0,0.333333333,0.333333333,0.857142857,0,0.142857143,0.666666667,0.142857143,1,0.857142857,0.888888889,1,1,1,0.666666667,calm,0,1,1,6,-5,12,37,female,native language,right,1,1
37,0,0,0,0,0.571428571,1,0,0.666666667,0.428571429,0,1,0.333333333,1,1,1,1,1,stress1,1,-2,2,4,-2,12,37,female,native language,right,1,1
40,0,0,0,0,0.444444444,1,0,0.333333333,0.555555556,0,1,0.666666667,1,1,0.824864596,1,1,stress2,-1,0,1,4,-3,12,37,female,native language,right,1,1
33,0,0,0,0,0.571428571,0.5,0,1,0.428571429,0.5,1,0,1,1,1,1,1,stress1,-3,1,4,8,-4,15,39,male,native language,right,1,1
36,0,0,0,0,0.111111111,0,0,0.333333333,0.888888889,1,1,0.666666667,1,1,1,1,1,stress2,3,-2,7,6,1,15,39,male,native language,right,1,1
41,0,0,0,0,0.238095238,0.428571429,0,0.285714286,0.761904762,0.571428571,1,0.714285714,1,1,1,1,1,calm,-5,2,2,8,-6,15,39,male,native language,right,1,1
